entry_time,entry_time_utc,entry_hour_local,exit_time,exit_time_utc,direction,entry_price,exit_price,entry_reason,exit_reason,pnl_usd,pnl_pct,duration_minutes,position_size_usd
2026-03-05 08:30:00,2026-03-05 01:30:00,8,2026-03-05 14:15:00,2026-03-05 07:15:00,long,0.713,0.723695,"Close (0.713000) < Lower BB (0.714508), above EMA200 (0.708716)",Take Profit hit (1.50%),14.5184,6.0,345.0,967.89
2026-03-10 07:00:00,2026-03-10 00:00:00,7,2026-03-10 15:30:00,2026-03-10 08:30:00,long,0.6997,0.710195,"Close (0.699700) < Lower BB (0.700165), above EMA200 (0.697081)",Take Profit hit (1.50%),14.7362,6.0,510.0,982.41
2026-03-18 06:30:00,2026-03-17 23:30:00,6,2026-03-18 07:00:00,2026-03-18 00:00:00,long,0.7573,0.75162,"Close (0.757300) < Lower BB (0.758930), above EMA200 (0.739923)",Stop Loss hit (0.75%),-7.4786,-3.0,30.0,997.15
2026-03-18 07:00:00,2026-03-18 00:00:00,7,2026-03-18 07:15:00,2026-03-18 00:15:00,long,0.7439,0.738321,"Close (0.743900) < Lower BB (0.751104), above EMA200 (0.740111)",Stop Loss hit (0.75%),-7.4225,-3.0,15.0,989.67
2026-03-23 09:15:00,2026-03-23 02:15:00,9,2026-03-23 13:30:00,2026-03-23 06:30:00,short,0.6734,0.663299,"Close (0.673400) > Upper BB (0.671753), below EMA200 (0.675350)",Take Profit hit (1.50%),14.7337,6.0,255.0,982.25
2026-03-26 05:30:00,2026-03-25 22:30:00,5,2026-03-27 07:00:00,2026-03-27 00:00:00,short,0.6641,0.669081,"Close (0.664100) > Upper BB (0.663312), below EMA200 (0.665206)",Stop Loss hit (0.75%),-7.4774,-3.0,1530.0,996.98
2026-03-31 06:45:00,2026-03-30 23:45:00,6,2026-03-31 15:30:00,2026-03-31 08:30:00,long,0.6723,0.667258,"Close (0.672300) < Lower BB (0.672490), above EMA200 (0.668627)",Stop Loss hit (0.75%),-7.4213,-3.0,525.0,989.5
2026-04-04 07:00:00,2026-04-04 00:00:00,7,2026-04-04 12:45:00,2026-04-04 05:45:00,short,0.6573,0.66223,"Close (0.657300) > Upper BB (0.656398), below EMA200 (0.661284)",Stop Loss hit (0.75%),-7.3656,-3.0,345.0,982.08
2026-04-05 07:45:00,2026-04-05 00:45:00,7,2026-04-06 02:30:00,2026-04-05 19:30:00,long,0.6642,0.659218,"Close (0.664200) < Lower BB (0.664858), above EMA200 (0.663056)",Stop Loss hit (0.75%),-7.3104,-3.0,1125.0,974.72
2026-04-10 05:30:00,2026-04-09 22:30:00,5,2026-04-10 06:15:00,2026-04-09 23:15:00,long,0.668,0.66299,"Close (0.668000) < Lower BB (0.668080), above EMA200 (0.667692)",Stop Loss hit (0.75%),-7.2556,-3.0,45.0,967.41
2026-04-15 08:45:00,2026-04-15 01:45:00,8,2026-04-15 09:15:00,2026-04-15 02:15:00,short,0.6687,0.673715,"Close (0.668700) > Upper BB (0.668132), below EMA200 (0.669186)",Stop Loss hit (0.75%),-7.2011,-3.0,30.0,960.15
2026-04-17 08:45:00,2026-04-17 01:45:00,8,2026-04-17 09:15:00,2026-04-17 02:15:00,long,0.6817,0.676587,"Close (0.681700) < Lower BB (0.683800), above EMA200 (0.672819)",Stop Loss hit (0.75%),-7.1471,-3.0,30.0,952.95
2026-04-17 09:15:00,2026-04-17 02:15:00,9,2026-04-17 20:00:00,2026-04-17 13:00:00,long,0.6772,0.687358,"Close (0.677200) < Lower BB (0.679843), above EMA200 (0.672931)",Take Profit hit (1.50%),14.1871,6.0,645.0,945.8
2026-04-18 06:30:00,2026-04-17 23:30:00,6,2026-04-18 07:15:00,2026-04-18 00:15:00,long,0.6824,0.677282,"Close (0.682400) < Lower BB (0.682571), above EMA200 (0.680043)",Stop Loss hit (0.75%),-7.1999,-3.0,45.0,959.99
2026-04-20 07:00:00,2026-04-20 00:00:00,7,2026-04-20 07:45:00,2026-04-20 00:45:00,short,0.6704,0.675428,"Close (0.670400) > Upper BB (0.670345), below EMA200 (0.672896)",Stop Loss hit (0.75%),-7.1459,-3.0,45.0,952.79
2026-04-21 06:45:00,2026-04-20 23:45:00,6,2026-04-21 17:30:00,2026-04-21 10:30:00,long,0.6775,0.687662,"Close (0.677500) < Lower BB (0.677503), above EMA200 (0.676401)",Take Profit hit (1.50%),14.1847,6.0,645.0,945.64
2026-05-03 08:30:00,2026-05-03 01:30:00,8,2026-05-03 16:45:00,2026-05-03 09:45:00,long,0.6774,0.67232,"Close (0.677400) < Lower BB (0.677578), above EMA200 (0.663779)",Stop Loss hit (0.75%),-7.1987,-3.0,495.0,959.83
2026-05-08 07:00:00,2026-05-08 00:00:00,7,2026-05-08 10:15:00,2026-05-08 03:15:00,short,0.6631,0.668073,"Close (0.663100) > Upper BB (0.662353), below EMA200 (0.671112)",Stop Loss hit (0.75%),-7.1447,-3.0,195.0,952.63
2026-05-13 08:15:00,2026-05-13 01:15:00,8,2026-05-13 16:45:00,2026-05-13 09:45:00,short,0.6782,0.683286,"Close (0.678200) > Upper BB (0.676632), below EMA200 (0.683131)",Stop Loss hit (0.75%),-7.0911,-3.0,510.0,945.49
2026-05-21 06:15:00,2026-05-20 23:15:00,6,2026-05-21 07:30:00,2026-05-21 00:30:00,long,0.681,0.691215,"Close (0.681000) < Lower BB (0.684746), above EMA200 (0.666186)",Take Profit hit (1.50%),14.0759,6.0,75.0,938.39
2026-05-27 06:00:00,2026-05-26 23:00:00,6,2026-05-27 12:30:00,2026-05-27 05:30:00,short,0.6845,0.689634,"Close (0.684500) > Upper BB (0.684299), below EMA200 (0.689592)",Stop Loss hit (0.75%),-7.1435,-3.0,390.0,952.47
2026-06-05 09:45:00,2026-06-05 02:45:00,9,2026-06-05 11:45:00,2026-06-05 04:45:00,short,0.669,0.674018,"Close (0.669000) > Upper BB (0.668227), below EMA200 (0.671415)",Stop Loss hit (0.75%),-7.09,-3.0,120.0,945.33
2026-06-07 08:00:00,2026-06-07 01:00:00,8,2026-06-07 08:45:00,2026-06-07 01:45:00,short,0.6257,0.630393,"Close (0.625700) > Upper BB (0.624342), below EMA200 (0.629854)",Stop Loss hit (0.75%),-7.0368,-3.0,45.0,938.24
