trade_num,date,balance,pnl,direction
88,2025-11-20 06:15:00,994.01,13.55,short
89,2025-11-22 05:45:00,1018.1,24.1,long
90,2025-11-23 08:30:00,1010.47,-7.64,short
91,2025-11-23 09:00:00,1002.89,-7.58,short
92,2025-11-24 07:15:00,995.37,-7.52,long
93,2025-11-24 07:30:00,987.9,-7.47,long
94,2025-11-25 06:45:00,980.49,-7.41,short
95,2025-11-25 07:00:00,973.14,-7.35,short
96,2025-11-25 07:45:00,999.49,26.36,short
97,2025-11-26 06:00:00,1008.83,9.34,short
98,2025-11-27 07:15:00,1001.27,-7.57,short
99,2025-11-27 07:30:00,1013.36,12.1,short
100,2025-11-29 05:45:00,1026.62,13.26,short
101,2025-12-01 06:45:00,1018.92,-7.7,long
102,2025-12-01 07:00:00,1011.28,-7.64,long
103,2025-12-01 07:15:00,1003.69,-7.58,long
104,2025-12-02 06:15:00,996.17,-7.53,short
105,2025-12-02 07:45:00,988.69,-7.47,short
106,2025-12-03 09:15:00,981.28,-7.42,short
107,2025-12-03 09:30:00,973.92,-7.36,short
108,2025-12-09 08:30:00,983.21,9.29,long
109,2025-12-10 05:30:00,1000.41,17.2,short
110,2025-12-11 08:30:00,992.91,-7.5,long
111,2025-12-11 09:00:00,985.46,-7.45,long
112,2025-12-13 06:30:00,978.07,-7.39,short
113,2025-12-13 07:15:00,983.2,5.13,short
114,2025-12-15 09:00:00,975.82,-7.37,short
115,2025-12-15 09:15:00,986.11,10.28,short
116,2025-12-16 05:30:00,1010.05,23.95,long
117,2025-12-16 09:45:00,1002.48,-7.58,short
118,2025-12-22 07:00:00,1015.25,12.77,short
119,2025-12-23 09:00:00,1030.25,15.01,short
120,2025-12-26 06:15:00,1022.53,-7.73,long
121,2025-12-26 06:30:00,1036.78,14.25,long
122,2025-12-26 09:15:00,1046.08,9.3,short
123,2025-12-29 07:45:00,1038.23,-7.85,short
124,2026-01-05 08:00:00,1030.44,-7.79,short
125,2026-01-05 08:45:00,1052.22,21.78,short
126,2026-01-12 09:30:00,1061.98,9.76,short
127,2026-01-14 05:30:00,1078.01,16.03,short
128,2026-01-19 06:15:00,1069.93,-8.09,long
129,2026-01-19 06:45:00,1061.9,-8.02,long
130,2026-01-19 07:00:00,1053.94,-7.96,long
131,2026-01-20 05:30:00,1066.11,12.17,long
132,2026-01-21 08:00:00,1058.12,-8.0,short
133,2026-01-28 06:00:00,1073.71,15.6,short
134,2026-01-29 09:45:00,1065.66,-8.05,long
135,2026-01-30 08:30:00,1057.67,-7.99,long
136,2026-01-30 09:15:00,1091.74,34.07,long
137,2026-02-01 07:00:00,1083.55,-8.19,short
138,2026-02-02 07:30:00,1098.92,15.36,short
139,2026-02-02 08:15:00,1113.92,15.0,short
140,2026-02-06 07:00:00,1105.56,-8.35,long
141,2026-02-06 07:15:00,1097.27,-8.29,long
142,2026-02-07 05:30:00,1089.04,-8.23,short
143,2026-02-08 08:00:00,1080.87,-8.17,short
144,2026-02-13 08:00:00,1072.77,-8.11,short
145,2026-02-13 08:15:00,1102.0,29.24,short
146,2026-02-15 08:15:00,1120.61,18.61,long
147,2026-02-21 05:30:00,1130.89,10.28,short
148,2026-02-23 08:00:00,1122.41,-8.48,long
149,2026-02-23 08:15:00,1147.65,25.24,long
150,2026-02-25 08:15:00,1162.24,14.6,short
151,2026-02-26 06:30:00,1153.53,-8.72,long
152,2026-02-28 06:30:00,1165.69,12.16,short
153,2026-03-01 09:15:00,1156.95,-8.74,short
154,2026-03-02 08:00:00,1172.41,15.46,short
155,2026-03-06 07:30:00,1183.81,11.4,long
156,2026-03-17 06:45:00,1174.93,-8.88,short
157,2026-03-17 07:00:00,1166.12,-8.81,short
158,2026-03-18 06:30:00,1157.38,-8.75,long
159,2026-03-18 07:00:00,1148.7,-8.68,long
160,2026-03-18 07:15:00,1174.98,26.28,long
161,2026-03-22 07:00:00,1209.46,34.48,long
162,2026-04-08 05:30:00,1200.38,-9.07,short
163,2026-04-08 06:00:00,1207.25,6.87,short
164,2026-04-12 09:15:00,1213.68,6.43,long
165,2026-04-14 05:30:00,1224.5,10.82,short
166,2026-05-06 09:00:00,1236.61,12.12,short
167,2026-05-09 08:00:00,1227.34,-9.27,short
168,2026-05-18 06:30:00,1244.66,17.32,long
169,2026-05-21 08:00:00,1264.12,19.46,short
170,2026-06-01 08:45:00,1283.14,19.02,long
171,2026-06-04 08:15:00,1273.51,-9.62,long
172,2026-06-04 09:00:00,1310.23,36.72,long
173,2026-06-07 08:30:00,1300.4,-9.83,short
174,2026-06-07 08:45:00,1312.56,12.16,short
175,2026-06-09 07:30:00,1322.94,10.38,long
176,2026-06-11 05:30:00,1313.02,-9.92,short
177,2026-06-11 06:15:00,1303.17,-9.85,short
178,2026-07-12 07:15:00,1293.39,-9.77,long
179,2026-07-12 07:30:00,1304.52,11.13,long
